group,parameter,mild,moderate_2009_like,severe,in_presented_results,slider,notes
Transmission & natural history,R₀,"1.25 [1.2, 1.4]","1.5 [1.3, 1.9]","3 [2.3, 3.7]",Yes,Yes,Next-generation R₀ of the full model (A and I transmit). Shiny slider 0.1–6. Maps use the midpoint.
Transmission & natural history,Incubation period (days),"2 [1.8, 3]","2 [1, 5]","5.3 [4.5, 6]",Yes,No,E → infectious.
Transmission & natural history,Infectious period (days),"4 [8, 10]","6 [8, 10]","6 [7, 12]",Yes,No,Sets recovery and death rates.
Transmission & natural history,P(symptomatic | infection),"25% [20%, 33%]","50% [35%, 67%]","70% [50%, 85%]",Yes,No,Splits E → I vs A.
Severity & hospital demand,Hospitalization | case,"1.4% [3%, 6%]","10% [8%, 14%]","50% [35%, 65%]",Yes,No,Ward admits from symptomatic-onset incidence.
Severity & hospital demand,ICU | hospitalization,"16.8% [3%, 6%]","20% [15%, 25%]","30% [20%, 40%]",Yes,No,ICU admits among ward admissions.
Severity & hospital demand,CFR among symptomatic,"0.1% [0.05%, 0.2%]","0.1% [0.05%, 0.5%]","3% [1%, 6%]",Yes,Yes,Shiny slider 0–10%. Maps use the midpoint.
Severity & hospital demand,LOS ward if discharged (days),"6 [4, 9]","7.5 [5, 10]","9.5 [7, 14]",Yes,Yes,"Shiny slider 4–14 days. Maps use the midpoint. All admissions occupy a ward bed, including ICU-bound patients."
Severity & hospital demand,LOS ward if died in hospital (days),"6 [1, 9]","7.5 [1, 10]","9.5 [1, 14]",Yes,No,Placeholder equals discharge LOS until literature or expert values are filled.
Severity & hospital demand,LOS ICU if discharged (days),"7 [4, 14]","8.5 [5, 14]","11 [7, 18]",Yes,Yes,Shiny slider 4–18 days. Maps use the midpoint.
Severity & hospital demand,LOS ICU if died in hospital (days),"7 [1, 14]","8.5 [1, 14]","11 [1, 18]",Yes,No,Placeholder equals discharge LOS until literature or expert values are filled.
Severity & hospital demand,In-hospital death | ward-only,"0% [0%, 20%]","0% [0%, 20%]","0% [0%, 30%]",Yes,No,Among admissions that never go to ICU. 0 until literature or expert fill. Not the community CFR.
Severity & hospital demand,In-hospital death | ICU,"0% [0%, 40%]","0% [0%, 40%]","0% [0%, 50%]",Yes,No,Among ICU admissions. 0 until literature or expert fill.
Vaccination & medical countermeasures,Vaccine protection vs symptomatic infection,"45% [70%, 85%]","80% [70%, 85%]","80% [70%, 85%]","In code, off",Planned,Applies only to people in V. Coverage is currently 0.
Vaccination & medical countermeasures,Initial vaccinated coverage (v₀),0%,0%,0%,"In code, off",Planned,Set to 0 in presented runs.
Vaccination & medical countermeasures,Vaccination rate during outbreak (ν),0,0,0,"In code, off",Planned,Set to 0 in presented runs (no campaign).
Capacity,NYC population,"8,584,629","8,584,629","8,584,629",Yes,No,Model denominator for counts.
Capacity,Baseline ward occupancy,79.8%,79.8%,79.8%,Yes,No,Pre-surge occupancy of staffed acute-care beds.
Capacity,Baseline ICU occupancy,79.4%,79.4%,79.4%,Yes,No,Pre-surge occupancy of staffed ICU beds.
Capacity,City free ward beds,3226.5,3226.5,3226.5,Yes,No,Staffed acute beds × (1 − ward occupancy).
Capacity,City free ICU beds,346.3,346.3,346.3,Yes,No,Staffed ICU beds × (1 − ICU occupancy).
Geography,ZIP burden weights,0.25 / 0.20 / 0.30 / 0.25,0.25 / 0.20 / 0.30 / 0.25,0.25 / 0.20 / 0.30 / 0.25,Yes,No,"Density 0.25, LODES 0.20, SVI 0.30, inverted access 0.25. Poultry/water excluded."
Geography,Hospital assignment,Nearest + overflow,Nearest + overflow,Nearest + overflow,Yes,No,Nearest campus; overflow to next-nearest when free beds are exhausted.
Shiny app only,Reporting given modeled onset,"100% [0%, 100%]","100% [0%, 100%]","100% [0%, 100%]",Yes,Yes,Maps use 100%. Slider 0–100%.
Shiny app only,Extra reporting scale,"100% [0%, 100%]","100% [0%, 100%]","100% [0%, 100%]",Yes,Yes,Maps use 100%. Optional second reporting slider.
